categorie;nom_recette;code_recette;poids_sachet_g;ingredient;pourcentage;est_base;notes
Tisane;La Balade Digestive;BD;25;Menthe marocaine;24%;;
Tisane;La Balade Digestive;BD;25;Agastache anisée;23%;;
Tisane;La Balade Digestive;BD;25;Romarin;18%;;
Tisane;La Balade Digestive;BD;25;Matricaire;12%;;
Tisane;La Balade Digestive;BD;25;Basilic thaï;12%;;
Tisane;La Balade Digestive;BD;25;Calendula;11%;;
Tisane;Nuit Étoilée;NE;20;Verveine odorante;33%;;= Verveine citronnée ?
Tisane;Nuit Étoilée;NE;20;Mélisse;25%;;
Tisane;Nuit Étoilée;NE;20;Aubépine;25%;;
Tisane;Nuit Étoilée;NE;20;Mauve;9%;;
Tisane;Nuit Étoilée;NE;20;Coucou;8%;;
Tisane;Lever de Soleil;LS;30;Menthe bergamote;30%;;
Tisane;Lever de Soleil;LS;30;Sarriette;20%;;
Tisane;Lever de Soleil;LS;30;Thym citron;20%;;
Tisane;Lever de Soleil;LS;30;Angélique;15%;;
Tisane;Lever de Soleil;LS;30;Calendula;10%;;
Tisane;Lever de Soleil;LS;30;Verveine Argentine;5%;;
Tisane;Feu de Camp;FC;20;Agastache anisée;35%;;
Tisane;Feu de Camp;FC;20;Sureau;30%;;
Tisane;Feu de Camp;FC;20;Basilic cannelle;25%;;
Tisane;Feu de Camp;FC;20;Mauve;5%;;
Tisane;Feu de Camp;FC;20;Pavot de Californie;5%;;
Tisane;La Montagne au Féminin;MF;20;Achillée;20%;;
Tisane;La Montagne au Féminin;MF;20;Framboisier;20%;;
Tisane;La Montagne au Féminin;MF;20;Aubépine;20%;;
Tisane;La Montagne au Féminin;MF;20;Marjolaine;10%;;
Tisane;La Montagne au Féminin;MF;20;Alchémille;10%;;
Tisane;La Montagne au Féminin;MF;20;Ortie;10%;;
Tisane;La Montagne au Féminin;MF;20;Rose;10%;;
Tisane;L'Équilibre;EQ;25;Basilic tulsi;30%;;
Tisane;L'Équilibre;EQ;25;Mélisse;30%;;
Tisane;L'Équilibre;EQ;25;Marjolaine;12%;;
Tisane;L'Équilibre;EQ;25;Aubépine;12%;;
Tisane;L'Équilibre;EQ;25;Achillée;12%;;
Tisane;L'Équilibre;EQ;25;Camomille romaine;4%;;
Tisane;Le Chant des Rivières;CR;25;Thym citron;20%;;
Tisane;Le Chant des Rivières;CR;25;Basilic citron;16%;;
Tisane;Le Chant des Rivières;CR;25;Frêne;16%;;
Tisane;Le Chant des Rivières;CR;25;Bruyère;16%;;
Tisane;Le Chant des Rivières;CR;25;Sureau;16%;;
Tisane;Le Chant des Rivières;CR;25;Menthe poivrée;8%;;
Tisane;Le Chant des Rivières;CR;25;Bleuet;8%;;
Tisane;Plein Air;PA;25;Reine des prés;17%;;
Tisane;Plein Air;PA;25;Sauge officinale;17%;;
Tisane;Plein Air;PA;25;Serpolet;17%;;
Tisane;Plein Air;PA;25;Lierre terrestre;17%;;
Tisane;Plein Air;PA;25;Hysope;17%;;
Tisane;Plein Air;PA;25;Coucou;8%;;
Tisane;Plein Air;PA;25;Menthe africaine;7%;;
Tisane;L'Hivernale;HI;25;Jeune pousse de sapin;25%;;
Tisane;L'Hivernale;HI;25;Cassis;15%;;
Tisane;L'Hivernale;HI;25;Sureau;15%;;
Tisane;L'Hivernale;HI;25;Serpolet;15%;;
Tisane;L'Hivernale;HI;25;Ronce;10%;;
Tisane;L'Hivernale;HI;25;Géranium rosat;10%;;
Tisane;L'Hivernale;HI;25;Coucou;10%;;
Tisane;Tisane de Noël;NO;25;Géranium rosat;32%;;
Tisane;Tisane de Noël;NO;25;Romarin;24%;;
Tisane;Tisane de Noël;NO;25;Menthe poivrée;20%;;
Tisane;Tisane de Noël;NO;25;Monarde;20%;;
Tisane;Tisane de Noël;NO;25;Coquelicot;4%;;
Tisane;Douceur Maternelle;DM;25;Verveine citronnée;30%;;
Tisane;Douceur Maternelle;DM;25;Fenouil semences;30%;;Graines — même variété que la plante ou achat externe ?
Tisane;Douceur Maternelle;DM;25;Aneth semences;15%;;Graines — même variété que la plante ou achat externe ?
Tisane;Douceur Maternelle;DM;25;Anis vert semences;15%;;Graines — même variété que la plante ou achat externe ?
Tisane;Douceur Maternelle;DM;25;Mélisse;10%;;
Aromate;Aromate Volaille;AV;12;Estragon;50%;;
Aromate;Aromate Volaille;AV;12;Sarriette;25%;;
Aromate;Aromate Volaille;AV;12;Serpolet;14%;;
Aromate;Aromate Volaille;AV;12;Hysope;9%;;
Aromate;Aromate Volaille;AV;12;Bleuet;2%;;
Aromate;Aromate Potage;AP;15;Ortie;45%;;
Aromate;Aromate Potage;AP;15;Thym vulgaire;15%;;
Aromate;Aromate Potage;AP;15;Serpolet;15%;;
Aromate;Aromate Potage;AP;15;Sauge officinale;15%;;
Aromate;Aromate Potage;AP;15;Livèche;10%;;
Aromate;Aromate Grillades;AG;12;Serpolet;20%;;
Aromate;Aromate Grillades;AG;12;Origan;20%;;
Aromate;Aromate Grillades;AG;12;Romarin;15%;;
Aromate;Aromate Grillades;AG;12;Hysope;15%;;
Aromate;Aromate Grillades;AG;12;Sarriette;15%;;
Aromate;Aromate Grillades;AG;12;Thym vulgaire;15%;;
Aromate;Pique-nique;PQ;12;Menthe verte;44%;;
Aromate;Pique-nique;PQ;12;Basilic citron;24%;;
Aromate;Pique-nique;PQ;12;Origan;20%;;
Aromate;Pique-nique;PQ;12;Thym citron;12%;;
Aromate;Les Lacs;LC;12;Origan;40%;;
Aromate;Les Lacs;LC;12;Fenouil;20%;;
Aromate;Les Lacs;LC;12;Basilic citron;20%;;
Aromate;Les Lacs;LC;12;Menthe bergamote;20%;;
Sel;Sel aux Herbes;SAH;40;Sel de Guérande;75%;oui;
Sel;Sel aux Herbes;SAH;40;Romarin;4%;;
Sel;Sel aux Herbes;SAH;40;Origan;4%;;
Sel;Sel aux Herbes;SAH;40;Thym vulgaire;4%;;
Sel;Sel aux Herbes;SAH;40;Serpolet;3%;;
Sel;Sel aux Herbes;SAH;40;Sarriette;3%;;
Sel;Sel aux Herbes;SAH;40;Hysope;3%;;
Sel;Sel aux Herbes;SAH;40;Sauge officinale;2%;;
Sel;Sel aux Herbes;SAH;40;Menthe;2%;;Quelle menthe exactement ?
Sel;Sel Ortie Calendula;SOC;35;Sel de Guérande;55%;oui;
Sel;Sel Ortie Calendula;SOC;35;Ortie;43%;;
Sel;Sel Ortie Calendula;SOC;35;Calendula;2%;;
Sel;Sel Ail des Ours (20g);SAO20;20;Sel de Guérande;88%;oui;
Sel;Sel Ail des Ours (20g);SAO20;20;Ail des ours;12%;;
Sel;Sel Ail des Ours (50g);SAO50;50;Sel de Guérande;88%;oui;
